Model,Metric,Mean,Std
LR,AM,15.1167,0.4039
LR,ME,0.0329,0.3580
LR,MAE,2.3743,0.2438
LR,RMSE,3.4523,0.4712
LR,PCC,0.9213,0.0224
LR,R_sq,0.8418,0.0436
SVR,AM,14.1125,0.3462
SVR,ME,1.0372,0.4307
SVR,MAE,3.3300,0.2997
SVR,RMSE,6.5802,0.9756
SVR,PCC,0.7481,0.0404
SVR,R_sq,0.4474,0.0540
GBM,AM,15.1013,0.4146
GBM,ME,0.0484,0.3484
GBM,MAE,2.2869,0.1771
GBM,RMSE,3.3840,0.3343
GBM,PCC,0.9260,0.0129
GBM,R_sq,0.8511,0.0232
RFR,AM,15.0838,0.4094
RFR,ME,0.0659,0.3230
RFR,MAE,2.2813,0.2342
RFR,RMSE,3.3859,0.4403
RFR,PCC,0.9282,0.0100
RFR,R_sq,0.8523,0.0191
