Model,Metric,Mean,Std
LR,AM,15.2733,0.3823
LR,ME,-0.1097,0.4788
LR,MAE,3.7432,0.2022
LR,RMSE,5.5032,0.9251
LR,PCC,0.7926,0.0750
LR,R_sq,0.5551,0.2306
SVR,AM,14.0046,0.2268
SVR,ME,1.1590,0.3770
SVR,MAE,3.9337,0.2836
SVR,RMSE,6.8364,0.7334
SVR,PCC,0.6908,0.0370
SVR,R_sq,0.3651,0.0343
GBM,AM,15.2491,0.3608
GBM,ME,-0.0855,0.3488
GBM,MAE,3.4483,0.2862
GBM,RMSE,4.9124,0.5662
GBM,PCC,0.8274,0.0341
GBM,R_sq,0.6681,0.0575
RFR,AM,15.1819,0.3499
RFR,ME,-0.0183,0.3920
RFR,MAE,3.2510,0.1944
RFR,RMSE,4.5654,0.3503
RFR,PCC,0.8508,0.0158
RFR,R_sq,0.7146,0.0236
