Model,Metric,Mean,Std
LR,AM,-9.2642,0.3724
LR,ME,-0.0151,0.3290
LR,MAE,2.4089,0.1240
LR,RMSE,3.6110,0.2182
LR,PCC,0.8477,0.0255
LR,R_sq,0.7084,0.0488
SVR,AM,-9.2181,0.1794
SVR,ME,-0.0612,0.3723
SVR,MAE,2.9467,0.2233
SVR,RMSE,5.2580,0.6619
SVR,PCC,0.6599,0.0332
SVR,R_sq,0.3961,0.0437
GBM,AM,-9.3265,0.3582
GBM,ME,0.0472,0.3405
GBM,MAE,2.2641,0.1284
GBM,RMSE,3.5623,0.2317
GBM,PCC,0.8511,0.0222
GBM,R_sq,0.7175,0.0415
RFR,AM,-9.3424,0.3324
RFR,ME,0.0632,0.3389
RFR,MAE,2.1120,0.1602
RFR,RMSE,3.4586,0.2780
RFR,PCC,0.8601,0.0214
RFR,R_sq,0.7343,0.0384
