CME_num,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
01_2010-04-03,45.62,55.75,51.27,-10.13,-5.65
02_2010-05-23,105.72,106.42,106.05,-0.70,-0.33
03_2010-08-01,57.00,58.00,53.26,-1.00,3.74
04_2011-09-06,60.77,71.67,72.65,-10.90,-11.88
05_2011-09-13,77.83,92.83,72.82,-15.00,5.01
06_2011-10-22,65.22,83.92,71.54,-18.70,-6.32
07_2012-01-19,63.40,64.40,62.84,-1.00,0.56
08_2012-03-07,34.05,24.87,34.96,9.18,-0.91
09_2012-06-14,43.93,47.67,46.02,-3.73,-2.08
10_2012-07-03,101.33,88.33,83.41,13.00,17.93
11_2012-07-12,49.20,47.20,46.84,2.00,2.36
12_2012-09-27,58.63,65.25,62.52,-6.62,-3.89
13_2012-10-05,75.67,94.67,69.85,-19.00,5.82
