CME_num,Actual_TT,Seed_TT,ML_TT_mean,ML_TT_std,Seed_error,ML_error_mean,ML_error_std
01_2010-04-03,45.62,55.75,51.12,0.10,-10.13,-5.51,0.10
02_2010-05-23,105.72,106.42,108.54,0.14,-0.70,-2.82,0.14
03_2010-08-01,57.00,58.00,62.55,0.17,-1.00,-5.55,0.17
04_2011-09-06,60.77,71.67,79.67,0.04,-10.90,-18.90,0.04
05_2011-09-13,77.83,92.83,69.69,0.04,-15.00,8.15,0.04
06_2011-10-22,65.22,83.92,71.08,0.18,-18.70,-5.87,0.18
07_2012-01-19,63.40,64.40,67.17,0.02,-1.00,-3.77,0.02
08_2012-03-07,34.05,24.87,43.25,0.71,9.18,-9.20,0.71
09_2012-06-14,43.93,47.67,46.89,0.04,-3.73,-2.95,0.04
10_2012-07-03,101.33,88.33,84.06,0.17,13.00,17.27,0.17
11_2012-07-12,49.20,47.20,46.11,0.05,2.00,3.09,0.05
12_2012-09-27,58.63,65.25,70.08,0.17,-6.62,-11.45,0.17
13_2012-10-05,75.67,94.67,76.61,0.50,-19.00,-0.94,0.50
