CME_num,Actual_TT,Seed_TT,ML_TT_mean,ML_TT_std,Seed_error,ML_error_mean,ML_error_std
01_2010-04-03,45.62,55.75,51.18,0.29,-10.13,-5.57,0.29
02_2010-05-23,105.72,106.42,106.11,0.24,-0.70,-0.39,0.24
03_2010-08-01,57.00,58.00,52.98,1.18,-1.00,4.02,1.18
04_2011-09-06,60.77,71.67,72.63,0.42,-10.90,-11.87,0.42
05_2011-09-13,77.83,92.83,73.10,1.53,-15.00,4.73,1.53
06_2011-10-22,65.22,83.92,71.49,0.13,-18.70,-6.27,0.13
07_2012-01-19,63.40,64.40,62.63,0.47,-1.00,0.77,0.47
08_2012-03-07,34.05,24.87,35.06,0.56,9.18,-1.01,0.56
09_2012-06-14,43.93,47.67,45.59,0.29,-3.73,-1.66,0.29
10_2012-07-03,101.33,88.33,83.56,0.20,13.00,17.77,0.20
11_2012-07-12,49.20,47.20,46.79,0.18,2.00,2.41,0.18
12_2012-09-27,58.63,65.25,62.49,0.15,-6.62,-3.85,0.15
13_2012-10-05,75.67,94.67,69.82,1.00,-19.00,5.85,1.00
