Time_A,Time_B,ensemble_member,EA_diff_A,EA_diff_B,Travel_time
2010-05-26 04:38:00,2010-05-26 18:54:00,1,-5.6931765,-2.4891088,120.4166667
2010-05-26 04:38:00,2010-05-26 18:54:00,2,-5.1231765,-2.2403368,118.4166667
2010-05-26 04:38:00,2010-05-26 18:54:00,3,-4.4231765,-1.9315649,117.4166667
2010-05-26 04:38:00,2010-05-26 18:54:00,4,-3.6631765,-1.582793,115.4166667
2010-05-26 04:38:00,2010-05-26 18:54:00,5,-3.0031765,-1.2115649,114.4166667
2010-05-26 04:38:00,2010-05-26 18:54:00,6,-2.3531765,-0.8315649,113.4166667
2010-05-26 04:38:00,2010-05-26 18:54:00,7,-1.8031765,-0.4415649,111.4166667
2010-05-26 04:38:00,2010-05-26 18:54:00,8,-1.2031765,-0.0315649,110.4166667
2010-05-26 04:38:00,2010-05-26 18:54:00,9,-0.5931765,0.3884351,108.4166667
2010-05-26 04:38:00,2010-05-26 18:54:00,10,-0.0431765,0.7984351,107.4166667
2010-05-26 04:38:00,2010-05-26 18:54:00,11,0.5668235,1.2096632,106.4166667
2010-05-26 04:38:00,2010-05-26 18:54:00,12,1.1768235,1.6384351,105.4166667
2010-05-26 04:38:00,2010-05-26 18:54:00,13,1.7768235,2.0896632,103.4166667
2010-05-26 04:38:00,2010-05-26 18:54:00,14,2.4268235,2.5396632,103.4166667
2010-05-26 04:38:00,2010-05-26 18:54:00,15,3.0468235,2.9696632,102.4166667
2010-05-26 04:38:00,2010-05-26 18:54:00,16,3.6268235,3.4108912,101.4166667
2010-05-26 04:38:00,2010-05-26 18:54:00,17,4.2568235,3.8108912,100.4166667
2010-05-26 04:38:00,2010-05-26 18:54:00,18,4.8468235,4.2596632,99.4166667
2010-05-26 04:38:00,2010-05-26 18:54:00,19,5.4118235,4.6608912,98.4166667
2010-05-26 04:38:00,2010-05-26 18:54:00,20,5.9968235,5.0121193,97.4166667
2010-05-26 04:38:00,2010-05-26 18:54:00,21,6.5268235,5.4221193,96.4166667
