Time,Actual_TT,Seed_TT,ML_TT,Seed_error,ML_error
2011-10-23 02:34:00,65.22,83.92,71.76,-18.70,-6.55
2011-10-23 02:35:00,65.22,83.92,71.74,-18.70,-6.53
2011-10-23 02:36:00,65.22,83.92,71.72,-18.70,-6.50
2011-10-23 02:37:00,65.22,83.92,71.70,-18.70,-6.48
2011-10-23 02:38:00,65.22,83.92,71.68,-18.70,-6.46
2011-10-23 02:39:00,65.22,83.92,71.66,-18.70,-6.44
2011-10-23 02:40:00,65.22,83.92,71.64,-18.70,-6.42
2011-10-23 02:41:00,65.22,83.92,71.62,-18.70,-6.40
2011-10-23 02:42:00,65.22,83.92,71.60,-18.70,-6.38
2011-10-23 02:43:00,65.22,83.92,71.58,-18.70,-6.36
2011-10-23 02:44:00,65.22,83.92,71.56,-18.70,-6.34
2011-10-23 02:45:00,65.22,83.92,71.54,-18.70,-6.32
2011-10-23 02:46:00,65.22,83.92,71.52,-18.70,-6.30
2011-10-23 02:47:00,65.22,83.92,71.50,-18.70,-6.28
2011-10-23 02:48:00,65.22,83.92,71.48,-18.70,-6.26
2011-10-23 02:49:00,65.22,83.92,71.46,-18.70,-6.24
2011-10-23 02:50:00,65.22,83.92,71.44,-18.70,-6.22
2011-10-23 02:51:00,65.22,83.92,71.42,-18.70,-6.20
2011-10-23 02:52:00,65.22,83.92,71.40,-18.70,-6.18
2011-10-23 02:53:00,65.22,83.92,71.38,-18.70,-6.16
2011-10-23 02:54:00,65.22,83.92,71.36,-18.70,-6.14
2011-10-23 02:55:00,65.22,83.92,71.34,-18.70,-6.12
2011-10-23 02:56:00,65.22,83.92,71.31,-18.70,-6.09
2011-10-23 02:57:00,65.22,83.92,71.28,-18.70,-6.07
2011-10-23 02:58:00,65.22,83.92,71.25,-18.70,-6.04
2011-10-23 02:59:00,65.22,83.92,71.23,-18.70,-6.01
2011-10-23 03:00:00,65.22,83.92,71.20,-18.70,-5.98
2011-10-23 03:01:00,65.22,83.92,71.17,-18.70,-5.95
2011-10-23 03:02:00,65.22,83.92,71.14,-18.70,-5.93
2011-10-23 03:03:00,65.22,83.92,71.11,-18.70,-5.90
2011-10-23 03:04:00,65.22,83.92,71.09,-18.70,-5.87
2011-10-23 03:05:00,65.22,83.92,71.06,-18.70,-5.84
2011-10-23 03:06:00,65.22,83.92,71.03,-18.70,-5.81
2011-10-23 03:07:00,65.22,83.92,71.00,-18.70,-5.78
2011-10-23 03:08:00,65.22,83.92,70.97,-18.70,-5.76
2011-10-23 03:09:00,65.22,83.92,70.95,-18.70,-5.73
2011-10-23 03:10:00,65.22,83.92,70.92,-18.70,-5.70
2011-10-23 03:11:00,65.22,83.92,70.89,-18.70,-5.67
2011-10-23 03:12:00,65.22,83.92,70.86,-18.70,-5.65
2011-10-23 03:13:00,65.22,83.92,70.83,-18.70,-5.62
2011-10-23 03:14:00,65.22,83.92,70.81,-18.70,-5.59
2011-10-23 03:15:00,65.22,83.92,70.78,-18.70,-5.56
2011-10-23 03:16:00,65.22,83.92,70.75,-18.70,-5.54
2011-10-23 03:17:00,65.22,83.92,70.73,-18.70,-5.51
2011-10-23 03:18:00,65.22,83.92,70.70,-18.70,-5.48
2011-10-23 03:19:00,65.22,83.92,70.67,-18.70,-5.45
2011-10-23 03:20:00,65.22,83.92,70.64,-18.70,-5.43
2011-10-23 03:21:00,65.22,83.92,70.62,-18.70,-5.40
2011-10-23 03:22:00,65.22,83.92,70.59,-18.70,-5.38
2011-10-23 03:23:00,65.22,83.92,70.57,-18.70,-5.35
2011-10-23 03:24:00,65.22,83.92,70.55,-18.70,-5.33
2011-10-23 03:25:00,65.22,83.92,70.53,-18.70,-5.31
2011-10-23 03:26:00,65.22,83.92,70.51,-18.70,-5.29
2011-10-23 03:27:00,65.22,83.92,70.49,-18.70,-5.27
2011-10-23 03:28:00,65.22,83.92,70.47,-18.70,-5.25
2011-10-23 03:29:00,65.22,83.92,70.45,-18.70,-5.23
2011-10-23 03:30:00,65.22,83.92,70.43,-18.70,-5.21
2011-10-23 03:31:00,65.22,83.92,70.41,-18.70,-5.19
2011-10-23 03:32:00,65.22,83.92,70.39,-18.70,-5.17
2011-10-23 03:33:00,65.22,83.92,70.37,-18.70,-5.15
